is_gorafi,title,category
True,"Deux heures après sa sortie, le nouveau tube de Patrick Bruel déjà programmé sur “Nostalgie”",culture
True,M6 demande à Cyril Hanouna d’humilier Bruno Guillon « avec respect »,culture
True,"Accro aux jeux vidéo, il piétine 8 tortues puis se coince dans un tuyau",culture
True,« Recherche appartement ou maison » sera désormais présenté par Jean-Marc Morandini,culture
True,Cyril Hanouna précipite son minibus avec ses chroniqueurs du haut d’une falaise,culture
True,Un enfant d’agriculteurs voit des Parisiens pour la première fois au Salon de l’Agriculture,culture
True,Il signe pour être steward mais se retrouve testeur de parachute,culture
True,Pour ou contre l’annulaire ?,culture
True,La cérémonie des César intégrera une catégorie “Meilleur film sans François Civil”,culture
True,Disneyland Paris : une nouvelle attraction simule un temps d’attente inférieur à 10 minutes,culture
True,Big Flo et Oli avouent ne pas savoir non plus qui est Big Flo et qui est Oli,culture
True,Un acteur sombre dans la dépression après avoir découvert qu’il ne jouait pas dans Bref.2,culture
True,"Après l’examen de ses tweets, Rachida Dati autorise Jean-Marc Morandini à continuer son émission",culture
True,Il devient champion du monde de mémoire en citant de tête toutes les affaires de Nicolas Sarkozy,culture
True,Édito : Pourquoi Le Gorafi quitte le réseau social Pinterest,culture
True,Guillaume Canet prépare une trilogie de biopic sur Guillaume Canet,culture
True,"Rencontre avec Régis, dernier CRS à ne pas être passé sur W9",culture
True,"20 ans plus tard, il comprend enfin une scène de Mulholland Drive",culture
True,Comment nudger votre quotidien et reset votre mindset pour ban les anglicismes ?,culture
True,"Pour remonter le moral des Français, L214 sort son bêtisier 2024",culture
True,"Qu’est-ce que le “manging en famille”, cette tendance qui revient souvent à Noël ?",culture
True,"Selon une étude, la plus belle preuve d’amour serait de partager ses codes Canal+",culture
True,Quel vin choisir pour accompagner une discussion sur le wokisme à Noël?,culture
True,Secret Santa : 6 idées cadeaux pour « l’autre con »,culture
True,Il écrit un roman de 500 pages pendant son attente aux urgences,culture
True,"Après le succès de “L’Amour ouf”, Gilles Lellouche annonce le tournage de la suite “La routine reloue”",culture
True,Inflation – Cette année les calendriers de l’avent n’auront qu’une seule case,culture
True,Le générique des douze coups de midi de nouveau élu personnalité préférée des chômeurs et des retraités,culture
True,"NRJ – À partir du 20 novembre, Manu dans le 6/10 va doubler vos impôts",culture
True,DAZN propose de rémunérer les téléspectateurs pour accéder à la chaîne,culture
True,Pour ou contre Jean-Luc Reichmann ?,culture
True,Test : Avec qui confondez-vous Quincy Jones ?,culture
True,Pour ou contre l’accrobranche ?,culture
True,"Pour Halloween, des Français veulent se faire peur au cinéma en allant voir le film 4 Zéros",culture
True,Ses parfaites connaissances de l’œuvre de Tolkien ne l’aident finalement pas à conclure,culture
True,Une battue organisée dans le Tarn-Et-Garonne pour retrouver la personne qui a “bien aimé” Joker 2,culture
True,Recettes d’automne : 8 façons de ne pas cuisiner le topinambour,culture
True,Fort Boyard : Les tigres finalement remplacés par Mathilde Panot,culture
True,« 100 conseils pour dire à une femme de se calmer » : le nouveau livre de Gérald Darmanin fait polémique,culture
True,Le film Le Comte de Monte-Cristo bientôt adapté en livre,culture
True,« T’Choupi va sur le pot » pressenti pour le Goncourt 2024,culture
True,"Accusé “d’agir en mafieux”, Cyril Hanouna met une tête de cheval dans le slip du directeur de l’ARCOM",culture
True,"Pour son anniversaire, il reçoit un livre qu’il n’a pas envie de lire d’un ami qui ne l’a pas lu",culture
True,3 choses que Center Parcs ne veut pas que vous sachiez,culture
True,Reformation d’Oasis – Gérald Darmanin annonce une « tolérance zéro » face à la recrudescence des reprises de “Wonderwall”,culture
True,Disparition à 88 ans de l’acteur qui interprétait César dans Astérix aux Jeux olympiques,culture
True,La mort de Patrice Laffont éteint tout espoir de comprendre les règles du jeu Pyramide,culture
True,"En hommage à C8, Vincent Bolloré organise une messe en latin",culture
True,Cyril Hanouna enregistrera TPMP depuis un bateau situé dans les eaux internationales,culture
True,Un fan d’NRJ 12 déçu de n’avoir pu voir que 8 fois les 12 saisons de The Big Bang Theory en VF,culture
True,Vincent Bolloré rachète l’Arcom,culture
True,Elisabeth Lévy s’insurge contre la présence de corps étrangers dans son vin rouge,culture
True,Législatives – CNews change son habillage avec un nouveau logo en berne,culture
True,Il est persuadé qu’il va recevoir un message de Margot Robbie après avoir commenté sa photo « canon la miss »,culture
True,"Pour équilibrer les temps de parole, l’ARCOM condamne CNews à diffuser des films de Ken Loach pendant deux ans",culture
True,Elle garde son tapis de yoga de 2015 en pensant encore qu’elle va s’y mettre,culture
True,Tous les gens que vous détestez sont encore au Festival de Cannes cette année,culture
True,"À peine arrivé au Paradis, Bernard Pivot corrige 8 fautes d’orthographe sur les Tables de la Loi",culture
True,Bernar Pivo e dcd,culture
True,Mask Singer – TF1 présente ses excuses après la découverte d’Alain Soral sous le costume du Cupcake,culture
True,France Inter – Guillaume Meurice remplacé dès dimanche par une sorte de nazi sans prépuce,culture
True,Il a hâte de lire les critiques du film qu’il vient de voir pour savoir s’il l’a aimé,culture
True,"Pour ne pas stresser pendant son premier jour, un acteur pornographique imagine tous ses collègues habillés",culture
True,Les prises de parole de Bernard-Henri Lévy considérées comme des « polluants éternels »,culture
True,10 décors cultes de la saga Marvel,culture
True,Mort de Frédéric Mitterrand – La Thaïlande décrète trois jours de deuil national,culture
True,"Qui est Patrice Mitonneau, le comédien derrière “Messi”, le chien d’Anatomie d’une chute ?",culture
True,Il fait un bilan sanguin et découvre qu’il est fan de Trois Cafés Gourmands,culture
True,"Netflix lance une offre à 0,08€ par mois qui donne seulement accès aux films de Philippe Lacheau",culture
True,La chouette de Duolingo condamnée à 2 ans de prison ferme pour harcèlement,culture
True,César 2024 : Les discours de Justine Triet seront encadrés par trois CRS et limités à 11 secondes,culture
True,"Nikon Festival – Malgré ses 130 stories en 48 heures, personne ne regardera son court-métrage",culture
True,César 2024 : Rachida Dati nommée dans la catégorie “meilleure actrice” pour son rôle de ministre de la Culture,culture
True,Vincent Bolloré rachète Mediapart,culture
True,"Selon une étude, prendre des photos floues en noir et blanc ne ferait pas de vous un photographe talentueux",culture
True,L’homme qui répétait les mots “goat” “dinguerie” et “masterclass” vient d’obtenir un stage chez Konbini,culture
True,Charles Ingalls continue d’apparaître dans les rêves érotiques de votre grand-mère,culture
True,Le livre sur sa table de chevet est le même depuis six mois,culture
True,Star Academy – un élève émeut les téléspectateurs avec sa version acoustique de « La Zoubida »,culture
True,"Le 16 Janvier 2024, Michel Drucker tombe dans le domaine public",culture
True,TEST : Méritez-vous le nouveau livre du Gorafi ?,culture
True,Clique s’accorde une immense fête dans ses locaux pour célébrer le cap des 12 téléspectateurs,culture
True,"Après Spotify, Pornhub lance également sa rétrospective à partager avec vos amis sur les réseaux",culture
True,"8 ans plus tard, un enfant disparu au spectacle d’Eric Antoine réapparaît derrière une oreille",culture
True,5 incohérences historiques dans le Napoléon de Ridley Scott,culture
True,Netflix renouvelle Narcos pour une saison 4 autour « du cartel du Sénat »,culture
True,Uno – Le jeu annonce l’arrivée d’une carte 49.3 pour contrer un +4,culture
True,TEST – Êtes-vous une écluse ?,culture
True,Insolite : un enfant monte le toboggan par l’escalier,culture
True,"La 1ère édition de “LOL : Qui paie ses impôts en France, sort ! ” débarque sur Amazon Prime",culture
True,Beauté – Quel monoï choisir pour la fin du monde ?,culture
True,Le prix Nobel de littérature attribué à un graffiti sur un mur de toilettes d’un bar de Rennes,culture
True,"En réponse à la visite du pape à Marseille, la prochaine saison des Marseillais aura lieu au Vatican",culture
True,La ministre de la Culture promet des cellules de garde à vue “tout confort” pour les journalistes,culture
True,Il n’est toujours pas bilingue après 10 ans à regarder des séries en VOSTFR,culture
True,UGC propose des places à 100 euros pour avoir un siège sans punaise de lit,culture
True,"Après avoir loupé une marche, Gad Elmaleh voit toute la vie de Jerry Seinfeld défiler devant ses yeux",culture
True,Test : de quelle couleur est le cheval blanc d’Henri IV ?,culture
True,Elle ajoute une expérience de commerciale sur son CV après avoir négocié un t-shirt sur vinted,culture
True,"À 40 ans, il abandonne ses rêves de faire de la musique et se lance dans le reggaeton",culture
True,Le CNC force Justine Triet à réaliser «Qu’est-ce qu’on a fait au bon Dieu ? 4»,culture
True,"Après seulement 3 semaines de salle de sport, il ressent déjà les bénéfices réalisés par la salle de sport",culture
True,Un producteur inconscient envisage un divertissement sans Jonathan Cohen,culture
True,"« Lol » – Après la polémique, Tex annonce qu’il refuse de participer à son tour à l’émission",culture
True,TPMP : Cyril Hanouna a-t-il eu raison d’inviter Nordahl Lelandais pour parler des retraites ?,culture
True,96% des coachs en séduction avouent que le meilleur conseil reste « Sur un malentendu ça peut marcher »,culture
True,Il devient expert en féminisme après avoir lu la préface de “Sorcières” de Mona Chollet,culture
True,Oenologie : il a épuisé tous les adjectifs qu’il connaissait au bout de deux gorgées de vin,culture
True,Drame – Cyril Hanouna,culture
True,Stéphane Bern hospitalisé d’urgence après l’annonce du report de la visite de Charles III,culture
True,Laissé sans surveillance pendant dix minutes le logiciel Chat GPT écrit le scénario d’Alibi . Com 3,culture
True,"Après Brad Pitt aux César, Frédéric Diefenthal a honoré les Oscars de sa présence",culture
True,Attentat lors d’une projection du film de BHL : zéro mort,culture
True,"Votre meilleur ami remporte le César du meilleur acteur pour sa prestation dans « Désolé, j’avais pas vu ton message »",culture
True,"Après BFM Business, lancement de BFM Pierre Palmade",culture
True,César 2023 : l’Académie assure que des femmes seront présentes pour servir les petits fours,culture
True,Il allume sa télévision et ne tombe pas sur Guillaume Canet en promo d’Astérix,culture
True,Le nouveau film primé à Sundance parlera de deux américains moyens un peu perdus sur fond de musique folk,culture
True,Inflation – La série « Dix pour cent » rebaptisée « Vingt-cinq pour cent »,culture
